date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2019-03-06 00:00:00+00:00,1563733,3221994,75039771.0,66931.0,68528,110374,3769555.0,22690923.0,43158887.0,11662385.0,18468355.0,4615534.0,13122115.0,11304354.0,87478,29070,4849.0,8273646
2019-03-07 00:00:00+00:00,2235198,4104555,94885089.0,100614.0,47700,482125,7076275.0,23446166.0,62622140.0,14431013.0,19104699.0,11961864.0,18498286.0,15128499.0,382576,27262,12601.0,13091781
2019-03-08 00:00:00+00:00,1896702,5495828,85795799.0,60095.0,62671,155364,5806915.0,15621533.0,55826434.0,11531179.0,14341278.0,7144551.0,12890714.0,18015882.0,59708,28109,12890.0,7727513
2019-03-11 00:00:00+00:00,2294130,5469428,65098897.0,17954.0,66659,128195,4562262.0,13212089.0,63343530.0,9694373.0,15298295.0,6857708.0,14577194.0,14458845.0,232661,30419,39473.0,6392534
2019-03-12 00:00:00+00:00,6108704,6570541,79667530.0,32614.0,93288,221074,8634046.0,11013139.0,32521130.0,8981596.0,17995791.0,7216143.0,18050877.0,17102050.0,132224,11364,5193.0,12312229
2019-03-13 00:00:00+00:00,1536353,5272815,80639153.0,36063.0,36759,118641,4852050.0,13206790.0,42817546.0,10098311.0,13387866.0,5518388.0,17833630.0,15887625.0,121575,292152,6176.0,4702584
2019-03-14 00:00:00+00:00,893904,3409957,67518366.0,18333.0,36909,237959,4901695.0,12320420.0,37665726.0,9283753.0,9636528.0,5039791.0,10656663.0,15155384.0,80034,92417,4472.0,5380864
2019-03-15 00:00:00+00:00,1250986,4225190,81308979.0,13145.0,51130,95061,5427955.0,12427359.0,70020432.0,10219428.0,24900046.0,7259022.0,21024520.0,17714892.0,72919,25908,74381.0,13103511
2019-03-18 00:00:00+00:00,1415947,2786156,62199806.0,18649.0,15095,53377,5485631.0,10067909.0,43980696.0,7183529.0,10313893.0,4345470.0,14837637.0,15008763.0,73360,28524,6410.0,9872875
2019-03-19 00:00:00+00:00,1518392,4761360,90268121.0,27026.0,91248,406929,7016654.0,12525956.0,45029262.0,11308845.0,10778218.0,5271277.0,16153202.0,22636223.0,143959,24749,9363.0,9104784
2019-03-20 00:00:00+00:00,1695356,4382622,84609210.0,31436.0,87056,555257,9949399.0,13662863.0,65860286.0,11123700.0,11259449.0,11234984.0,13704293.0,18880460.0,330070,23804,171017.0,13585994
2019-03-21 00:00:00+00:00,1453010,3800010,79550375.0,20588.0,72901,118303,5731484.0,17878046.0,104914052.0,7398197.0,10638633.0,7959661.0,27274148.0,15371776.0,112473,27859,28159.0,9319056
2019-03-22 00:00:00+00:00,2688765,6226489,122659286.0,26877.0,19463,60549,8758893.0,19974975.0,121856178.0,12162589.0,18004399.0,9123744.0,26747361.0,20452512.0,116518,26853,13377.0,10080637
2019-03-25 00:00:00+00:00,2068589,4982454,85575197.0,40295.0,30694,39326,7461877.0,12346537.0,72835604.0,9893341.0,12372760.0,6562715.0,21946894.0,13762955.0,93094,30574,5066.0,7164300
2019-03-26 00:00:00+00:00,1748165,3278718,68125920.0,31019.0,38351,60495,5440650.0,11516543.0,51171543.0,8107248.0,10523982.0,5899772.0,13965286.0,15699774.0,298831,39071,12215.0,5168915
2019-03-27 00:00:00+00:00,2214235,3166154,72224722.0,32330.0,29701,36323,4427768.0,9582647.0,73148342.0,10817460.0,10556131.0,9782585.0,15831176.0,17323640.0,356337,29579,6843.0,6074357
2019-03-28 00:00:00+00:00,1536541,2434379,56238545.0,19378.0,32980,97029,6928435.0,9149159.0,52089324.0,6726871.0,10030122.0,4870911.0,10539704.0,24748769.0,63560,21738,20289.0,8252637
2019-03-29 00:00:00+00:00,1772810,4255859,82186806.0,105187.0,51948,59966,4599934.0,10037621.0,50234396.0,10120891.0,10138768.0,6327316.0,14347178.0,21835137.0,71340,23570,64541.0,15615083
